identifier	genome_accession	genome_name	taxid	genus_name	genus_threshold	species_name	species_threshold	subspecies_name	subspecies_threshold	serotype_name	serotype_threshold
REFSSPECIESID0000895	NZ_CP071586	Pseudomonas germanica  	2815720	Pseudomonas	77	germanica	97.4	-	-	-	-
REFSSPECIESID0000897	NZ_CP073751	Pseudomonas nanhaiensis  	2830842	Pseudomonas	77	nanhaiensis	95	-	-	-	-
REFSSPECIESID0000899	NZ_CP075567	Pseudomonas fitomaticsae  	2837969	Pseudomonas	77	fitomaticsae	96	-	-	-	-
REFSSPECIESID0000907	NZ_CP099598	Pseudomonas siliginis  	2842346	Pseudomonas	77	siliginis	96.5	-	-	-	-
REFSSPECIESID0000894	NZ_CP077080	Pseudomonas alvandae  	2842348	Pseudomonas	77	alvandae	99	-	-	-	-
REFSSPECIESID0000891	NZ_CP077079	Pseudomonas asgharzadehiana  	2842349	Pseudomonas	77	asgharzadehiana	95	-	-	-	-
REFSSPECIESID0000890	NZ_CP077078	Pseudomonas azerbaijanoriens  	2842350	Pseudomonas	77	azerbaijanoriens	95	-	-	-	-
REFSSPECIESID0000889	NZ_CP077077	Pseudomonas maumuensis  	2842354	Pseudomonas	77	maumuensis	96	-	-	-	-
REFSSPECIESID0000893	NZ_CP077076	Pseudomonas fakonensis  	2842355	Pseudomonas	77	fakonensis	96.5	-	-	-	-
REFSSPECIESID0000892	NZ_CP077075	Pseudomonas xanthosomae  	2842356	Pseudomonas	77	xanthosomae	96.5	-	-	-	-
REFSSPECIESID0000888	NZ_CP077073	Pseudomonas muyukensis  	2842357	Pseudomonas	77	muyukensis	95	-	-	-	-
REFSSPECIESID0000908	NZ_CP078013	Pseudomonas pergaminensis  	2853159	Pseudomonas	77	pergaminensis	95	-	-	-	-
REFSSPECIESID0000912	NZ_CP102179	Pseudomonas canavaninivorans  	2859001	Pseudomonas	77	canavaninivorans	99	-	-	-	-
REFSSPECIESID0001061	NZ_BQHJ01000001	Pseudomonas pseudonitroreducens  	2892326	Pseudomonas	77	pseudonitroreducens	95	-	-	-	-
REFSSPECIESID0000844	NZ_CP034338	Pseudomonas oryziphila  	2894079	Pseudomonas	77	oryziphila	99.3	-	-	-	-
REFSSPECIESID0000900	NZ_CP072610	Pseudomonas wenzhouensis  	2906062	Pseudomonas	77	wenzhouensis	95	-	-	-	-
REFSSPECIESID0000836	NZ_CP020560	Pseudomonas paraeruginosa  	2994495	Pseudomonas	77	paraeruginosa	95.5	-	-	-	-
REFSSPECIESID0000887	NZ_CP076668	Pseudomonas lijiangensis  	2995658	Pseudomonas	77	lijiangensis	96.2	-	-	-	-
REFSSPECIESID0000021	NC_006511.1	Salmonella enterica enterica Paratyphi A	54388	Salmonella	85	enterica	94	enterica	98	Paratyphi A	98.5
REFSSPECIESID0000046	NC_015761.1	Salmonella bongori - -	54736	Salmonella	85	bongori	94	-	-	-	-
REFSSPECIESID0000004	NC_010102.1	Salmonella enterica enterica Paratyphi B	57045	Salmonella	85	enterica	94	enterica	98	Paratyphi B	98.5
REFSSPECIESID0000028	AL513382.1	Salmonella enterica enterica Typhi	90370	Salmonella	85	enterica	94	enterica	98	Typhi	98.5
REFSSPECIESID0000041	AE006468.2	Salmonella enterica enterica Typhimurium	90371	Salmonella	85	enterica	94	enterica	98	Typhimurium	98.5
REFSSPECIESID0000017	APGS01000110.1	Salmonella enterica enterica Newport	108619	Salmonella	85	enterica	94	enterica	98	Newport	98.5
REFSSPECIESID0000031	CP007273.2	Salmonella enterica enterica Enteritidis	149539	Salmonella	85	enterica	94	enterica	98	Enteritidis	98.5
REFSSPECIESID0000010	GCF_000293115.1	Salmonella enterica enterica Mississippi	913079	Salmonella	85	enterica	94	enterica	98	Mississippi	98.5
REFSSPECIESID0000044	NC_007795.1	Staphylococcus aureus aureus -	1280	Staphylococcus	85	aureus	94	aureus	98	-	-
REFSSPECIESID0000022	NC_004461.1	Staphylococcus epidermidis - -	1282	Staphylococcus	85	epidermidis	94	-	-	-	-
REFSSPECIESID0000036	NC_007168.1	Staphylococcus haemolyticus - -	1283	Staphylococcus	85	haemolyticus	94	-	-	-	-
REFSSPECIESID0000023	NC_007350.1	Staphylococcus saprophyticus saprophyticus -	29385	Staphylococcus	85	saprophyticus	94	saprophyticus	98	-	-
REFSSPECIESID0000025	NZ_CP007601.1	Staphylococcus capitis capitis -	29388	Staphylococcus	85	capitis	94	capitis	98	-	-
REFSSPECIESID0001021	NZ_CP098033	Vibrio alginolyticus  	663	Vibrio	77	alginolyticus	95	-	-	-	-
REFSSPECIESID0000993	NZ_CP043554	Vibrio cholerae  	666	Vibrio	77	cholerae	97	-	-	-	-
REFSSPECIESID0000927	NZ_CP009467	Vibrio harveyi  	669	Vibrio	77	harveyi	95	-	-	-	-
REFSSPECIESID0000922	NC_004603	Vibrio parahaemolyticus  	670	Vibrio	77	parahaemolyticus	95	-	-	-	-
REFSSPECIESID0000925	NZ_BATJ01000050	Vibrio proteolyticus  	671	Vibrio	77	proteolyticus	95	-	-	-	-
REFSSPECIESID0000955	NZ_CP016321	Vibrio vulnificus  	672	Vibrio	77	vulnificus	95	-	-	-	-
REFSSPECIESID0000920	NZ_ADAF01000003	Vibrio mimicus  	674	Vibrio	77	mimicus	95	-	-	-	-
REFSSPECIESID0001054	NZ_UHIE01000003	Vibrio cincinnatiensis  	675	Vibrio	77	cincinnatiensis	95	-	-	-	-
REFSSPECIESID0000941	NZ_CP014034	Vibrio fluvialis  	676	Vibrio	77	fluvialis	95	-	-	-	-
REFSSPECIESID0000965	NZ_CP026321	Vibrio campbellii  	680	Vibrio	77	campbellii	95	-	-	-	-
REFSSPECIESID0000964	NZ_POSL01000001	Vibrio diazotrophicus  	685	Vibrio	77	diazotrophicus	96	-	-	-	-
REFSSPECIESID0000954	NZ_CP018835	Vibrio gazogenes  	687	Vibrio	77	gazogenes	95	-	-	-	-
REFSSPECIESID0001007	NZ_JABXGK010000001	Vibrio mediterranei  	689	Vibrio	77	mediterranei	96	-	-	-	-
REFSSPECIESID0000939	NZ_CP009977	Vibrio natriegens  	691	Vibrio	77	natriegens	95	-	-	-	-
REFSSPECIESID0000942	NZ_BCUD01000001	Vibrio nereis  	693	Vibrio	77	nereis	95	-	-	-	-
REFSSPECIESID0001042	NZ_CP090614	Vibrio pelagius  	28169	Vibrio	77	pelagius	95	-	-	-	-
REFSSPECIESID0001005	NZ_JAAZTV010000001	Vibrio aestuarianus  	28171	Vibrio	77	aestuarianus	95	-	-	-	-
REFSSPECIESID0000996	NZ_CP046793	Vibrio metschnikovii  	28172	Vibrio	77	metschnikovii	95	-	-	-	-
REFSSPECIESID0000935	NZ_CAOA01000001	Vibrio nigripulchritudo  	28173	Vibrio	77	nigripulchritudo	95	-	-	-	-
REFSSPECIESID0000919	NZ_ACZV01000005	Vibrio orientalis  	28175	Vibrio	77	orientalis	95	-	-	-	-
REFSSPECIESID0000988	NZ_CP040990	Vibrio furnissii  	29494	Vibrio	77	furnissii	95	-	-	-	-
REFSSPECIESID0001003	NZ_CP051121	Vibrio navarrensis  	29495	Vibrio	77	navarrensis	97	-	-	-	-
REFSSPECIESID0001019	NZ_CP089203	Vibrio splendidus  	29497	Vibrio	77	splendidus	95	-	-	-	-
REFSSPECIESID0000928	NZ_CP009354	Vibrio tubiashii  	29498	Vibrio	77	tubiashii	96	-	-	-	-
REFSSPECIESID0000946	NZ_MDCJ01000001	Vibrio scophthalmi  	45658	Vibrio	77	scophthalmi	95	-	-	-	-
REFSSPECIESID0000986	NZ_CP039700	Vibrio cyclitrophicus  	47951	Vibrio	77	cyclitrophicus	95	-	-	-	-
REFSSPECIESID0000930	NZ_JXOK01000001	Vibrio mytili  	50718	Vibrio	77	mytili	95	-	-	-	-
REFSSPECIESID0001045	NZ_JAMQQM010000010	Vibrio diabolicus  	50719	Vibrio	77	diabolicus	98.5	-	-	-	-
REFSSPECIESID0001052	NZ_LT960611	Vibrio tapetis  	52443	Vibrio	77	tapetis	95	-	-	-	-
REFSSPECIESID0000974	NZ_CP031494	Vibrio anguillarum  	55601	Vibrio	77	anguillarum	97	-	-	-	-
REFSSPECIESID0000983	NZ_RSFA01000001	Vibrio pectenicida  	62763	Vibrio	77	pectenicida	95	-	-	-	-
REFSSPECIESID0000976	NZ_BCUP01000001	Vibrio halioticoli  	71388	Vibrio	77	halioticoli	96	-	-	-	-
REFSSPECIESID0000957	NZ_AP018685	Vibrio rumoiensis  	76258	Vibrio	77	rumoiensis	95	-	-	-	-
REFSSPECIESID0001022	NZ_AP024861	Vibrio aerogenes  	92172	Vibrio	77	aerogenes	95	-	-	-	-
REFSSPECIESID0001016	NZ_AP025144	Vibrio penaeicida  	104609	Vibrio	77	penaeicida	95	-	-	-	-
REFSSPECIESID0000962	NZ_MCXR02000001	Vibrio lentus  	136468	Vibrio	77	lentus	95	-	-	-	-
REFSSPECIESID0000923	NZ_AFWF01000326	Vibrio ichthyoenteri  	142461	Vibrio	77	ichthyoenteri	95	-	-	-	-
REFSSPECIESID0000916	NC_013456	Vibrio antiquarius  	150340	Vibrio	77	antiquarius	98.5	-	-	-	-
REFSSPECIESID0001046	NZ_BLAT01000001	Vibrio agarivorans  	153622	Vibrio	77	agarivorans	95	-	-	-	-
REFSSPECIESID0000932	NZ_JXXU01000001	Vibrio neptunius  	170651	Vibrio	77	neptunius	95	-	-	-	-
REFSSPECIESID0000921	NZ_AEVS01000116	Vibrio brasiliensis  	170652	Vibrio	77	brasiliensis	95	-	-	-	-
REFSSPECIESID0000950	NZ_CP065150	Vibrio kanaloae  	170673	Vibrio	77	kanaloae	97	-	-	-	-
REFSSPECIESID0000926	NZ_JONH01000001	Vibrio pacinii  	170674	Vibrio	77	pacinii	96.5	-	-	-	-
REFSSPECIESID0001033	NZ_AP025465	Vibrio chagasii  	170679	Vibrio	77	chagasii	95	-	-	-	-
REFSSPECIESID0000936	NZ_LHPI01000001	Vibrio hepatarius  	171383	Vibrio	77	hepatarius	95	-	-	-	-
REFSSPECIESID0001031	NZ_AP024905	Vibrio ruber  	184755	Vibrio	77	ruber	95	-	-	-	-
REFSSPECIESID0000931	NZ_CP063051	Vibrio coralliilyticus  	190893	Vibrio	77	coralliilyticus	95	-	-	-	-
REFSSPECIESID0000956	NZ_CP018311	Vibrio rotiferianus  	190895	Vibrio	77	rotiferianus	95	-	-	-	-
REFSSPECIESID0001024	NZ_AP024871	Vibrio gallicus  	190897	Vibrio	77	gallicus	95	-	-	-	-
REFSSPECIESID0000978	NZ_BCUR01000001	Vibrio superstes  	198815	Vibrio	77	superstes	95	-	-	-	-
REFSSPECIESID0001038	NZ_AP025506	Vibrio pomeroyi  	198832	Vibrio	77	pomeroyi	95	-	-	-	-
REFSSPECIESID0001039	NZ_AP025510	Vibrio tasmaniensis  	212663	Vibrio	77	tasmaniensis	96	-	-	-	-
REFSSPECIESID0001036	NZ_AP025487	Vibrio fortis  	212667	Vibrio	77	fortis	95	-	-	-	-
REFSSPECIESID0000981	NZ_RJKJ01000001	Vibrio crassostreae  	246167	Vibrio	77	crassostreae	95	-	-	-	-
REFSSPECIESID0000977	NZ_BCUQ01000001	Vibrio ezurae  	252583	Vibrio	77	ezurae	95	-	-	-	-
REFSSPECIESID0001000	NZ_AP019657	Vibrio ponticus  	265668	Vibrio	77	ponticus	95	-	-	-	-
REFSSPECIESID0001026	NZ_AP024885	Vibrio neonatus  	278860	Vibrio	77	neonatus	96	-	-	-	-
REFSSPECIESID0001018	NZ_CP092384	Vibrio gigantis  	296199	Vibrio	77	gigantis	95	-	-	-	-
REFSSPECIESID0000945	NZ_LUAX01000001	Vibrio europaeus  	300876	Vibrio	77	europaeus	96	-	-	-	-
REFSSPECIESID0000924	NZ_KE384566	Vibrio litoralis  	335972	Vibrio	77	litoralis	95	-	-	-	-
REFSSPECIESID0001020	NZ_CP096199	Vibrio sinaloensis  	379097	Vibrio	77	sinaloensis	95	-	-	-	-
REFSSPECIESID0001030	NZ_AP024903	Vibrio rhizosphaerae  	398736	Vibrio	77	rhizosphaerae	95	-	-	-	-
REFSSPECIESID0000990	NZ_BJLH01000001	Vibrio comitans  	413401	Vibrio	77	comitans	95	-	-	-	-
REFSSPECIESID0000989	NZ_BJLF01000001	Vibrio inusitatus  	413402	Vibrio	77	inusitatus	95	-	-	-	-
REFSSPECIESID0001029	NZ_AP024900	Vibrio rarus  	413403	Vibrio	77	rarus	95	-	-	-	-
REFSSPECIESID0001028	NZ_AP024895	Vibrio porteresiae  	435912	Vibrio	77	porteresiae	95	-	-	-	-
REFSSPECIESID0000952	NZ_MVJF01000001	Vibrio celticus  	446372	Vibrio	77	celticus	97	-	-	-	-
REFSSPECIESID0001032	NZ_AP025458	Vibrio artabrorum  	446374	Vibrio	77	artabrorum	95	-	-	-	-
REFSSPECIESID0001050	NZ_FNVG01000060	Vibrio hangzhouensis  	462991	Vibrio	77	hangzhouensis	95	-	-	-	-
REFSSPECIESID0001025	NZ_AP024883	Vibrio mangrovi  	474394	Vibrio	77	mangrovi	95	-	-	-	-
REFSSPECIESID0000961	NZ_CP018616	Vibrio azureus  	512649	Vibrio	77	azureus	95	-	-	-	-
REFSSPECIESID0000992	NZ_BJXJ01000001	Vibrio sagamiensis  	512650	Vibrio	77	sagamiensis	95	-	-	-	-
REFSSPECIESID0000949	NZ_MPHM01000001	Vibrio ostreicida  	526588	Vibrio	77	ostreicida	95	-	-	-	-
REFSSPECIESID0001037	NZ_AP025490	Vibrio gallaecicus  	552386	Vibrio	77	gallaecicus	95	-	-	-	-
REFSSPECIESID0001023	NZ_AP024864	Vibrio breoganii  	553239	Vibrio	77	breoganii	95	-	-	-	-
REFSSPECIESID0000997	NZ_BLID01000001	Vibrio atypicus  	558271	Vibrio	77	atypicus	95	-	-	-	-
REFSSPECIESID0000933	NZ_JXXV01000001	Vibrio galatheae  	579748	Vibrio	77	galatheae	95	-	-	-	-
REFSSPECIESID0000970	NZ_QKKR01000020	Vibrio paracholerae  	650003	Vibrio	77	paracholerae	97	-	-	-	-
REFSSPECIESID0001055	NZ_CAKLCM010000001	Vibrio hippocampi  	654686	Vibrio	77	hippocampi	95	-	-	-	-
REFSSPECIESID0001056	NZ_CAKLDI010000001	Vibrio stylophorae  	659351	Vibrio	77	stylophorae	95	-	-	-	-
REFSSPECIESID0001027	NZ_AP024893	Vibrio plantisponsor  	664643	Vibrio	77	plantisponsor	96	-	-	-	-
REFSSPECIESID0000971	NZ_QPGL01000001	Vibrio casei  	673372	Vibrio	77	casei	95	-	-	-	-
REFSSPECIESID0000917	NC_011753	Vibrio atlanticus  	693153	Vibrio	77	atlanticus	96	-	-	-	-
REFSSPECIESID0000951	NZ_CP019959	Vibrio owensii  	696485	Vibrio	77	owensii	95	-	-	-	-
REFSSPECIESID0000918	NZ_AEIU01000126	Vibrio caribbeanicus  	701175	Vibrio	77	caribbeanicus	95	-	-	-	-
REFSSPECIESID0000963	NZ_CP025792	Vibrio jasicida  	766224	Vibrio	77	jasicida	97	-	-	-	-
REFSSPECIESID0001049	NZ_FNDD01000081	Vibrio xiamenensis  	861298	Vibrio	77	xiamenensis	95	-	-	-	-
REFSSPECIESID0000968	NZ_JYJK01000001	Vibrio variabilis  	990271	Vibrio	77	variabilis	95	-	-	-	-
REFSSPECIESID0000947	NZ_LJJE01000001	Vibrio sonorensis  	1004316	Vibrio	77	sonorensis	95	-	-	-	-
REFSSPECIESID0000934	NZ_JYJP01000001	Vibrio mexicanus  	1004326	Vibrio	77	mexicanus	95	-	-	-	-
REFSSPECIESID0001015	NZ_AP024165	Vibrio alfacsensis  	1074311	Vibrio	77	alfacsensis	95	-	-	-	-
REFSSPECIESID0001043	NZ_AP024897	Vibrio quintilis  	1117707	Vibrio	77	quintilis	95	-	-	-	-
REFSSPECIESID0001040	NZ_AP025514	Vibrio toranzoniae  	1194427	Vibrio	77	toranzoniae	97	-	-	-	-
REFSSPECIESID0001057	NZ_CAKLDM010000001	Vibrio marisflavi  	1216040	Vibrio	77	marisflavi	95	-	-	-	-
REFSSPECIESID0001048	NZ_OANU01000191	Vibrio thalassae  	1243014	Vibrio	77	thalassae	95	-	-	-	-
REFSSPECIESID0000937	NZ_LLEI02000001	Vibrio bivalvicida  	1276888	Vibrio	77	bivalvicida	95	-	-	-	-
REFSSPECIESID0000948	NZ_BDJF01000001	Vibrio injensis  	1307414	Vibrio	77	injensis	95	-	-	-	-
REFSSPECIESID0000960	NZ_NIVQ01000010	Vibrio salilacus  	1323749	Vibrio	77	salilacus	96.5	-	-	-	-
REFSSPECIESID0001034	NZ_AP025472	Vibrio cortegadensis  	1328770	Vibrio	77	cortegadensis	95	-	-	-	-
REFSSPECIESID0000999	NZ_AP019654	Vibrio panuliri  	1381081	Vibrio	77	panuliri	95	-	-	-	-
REFSSPECIESID0000940	NZ_AP014636	Vibrio tritonius  	1435069	Vibrio	77	tritonius	95	-	-	-	-
REFSSPECIESID0000929	NZ_JTKH01000001	Vibrio renipiscarius  	1461322	Vibrio	77	renipiscarius	95	-	-	-	-
REFSSPECIESID0000938	NZ_LBGP01000010	Vibrio metoecus  	1481663	Vibrio	77	metoecus	95	-	-	-	-
REFSSPECIESID0001041	NZ_AP024881	Vibrio ishigakensis  	1481914	Vibrio	77	ishigakensis	95	-	-	-	-
REFSSPECIESID0001001	NZ_CP047475	Vibrio astriarenae  	1481923	Vibrio	77	astriarenae	95	-	-	-	-
REFSSPECIESID0001053	NZ_ORXW01000001	Vibrio coralliirubri  	1516159	Vibrio	77	coralliirubri	97	-	-	-	-
REFSSPECIESID0000966	NZ_PKND01000056	Vibrio hyugaensis  	1534743	Vibrio	77	hyugaensis	97	-	-	-	-
REFSSPECIESID0000991	NZ_VMKJ01000001	Vibrio algivorus  	1667024	Vibrio	77	algivorus	95	-	-	-	-
REFSSPECIESID0000944	NZ_LQXO02000001	Vibrio barjaei  	1676683	Vibrio	77	barjaei	96	-	-	-	-
REFSSPECIESID0000943	NZ_LOBQ01000001	Vibrio cidicii  	1763883	Vibrio	77	cidicii	97	-	-	-	-
REFSSPECIESID0000987	NZ_RZIS01000001	Vibrio profundi  	1774960	Vibrio	77	profundi	95	-	-	-	-
REFSSPECIESID0001044	NZ_CP102096	Vibrio japonicus  	1824638	Vibrio	77	japonicus	95	-	-	-	-
REFSSPECIESID0000953	NZ_AP018689	Vibrio aphrogenes  	1891186	Vibrio	77	aphrogenes	95	-	-	-	-
REFSSPECIESID0001009	NZ_CP046268	Vibrio spartinae  	1918945	Vibrio	77	spartinae	95	-	-	-	-
REFSSPECIESID0001051	NZ_FUFT01000025	Vibrio palustris  	1918946	Vibrio	77	palustris	95	-	-	-	-
REFSSPECIESID0000959	NZ_NBUS01000054	Vibrio fujianensis  	1974215	Vibrio	77	fujianensis	95	-	-	-	-
REFSSPECIESID0000969	NZ_QKKK01000040	Vibrio tarriae  	2014742	Vibrio	77	tarriae	97	-	-	-	-
REFSSPECIESID0000958	NZ_CP022741	Vibrio qinghaiensis  	2025808	Vibrio	77	qinghaiensis	97	-	-	-	-
REFSSPECIESID0001047	NZ_AP021869	Vibrio gangliei  	2077090	Vibrio	77	gangliei	95	-	-	-	-
REFSSPECIESID0001035	NZ_AP025483	Vibrio echinoideorum  	2100116	Vibrio	77	echinoideorum	95	-	-	-	-
REFSSPECIESID0000967	NZ_QFWT01000010	Vibrio albus  	2200953	Vibrio	77	albus	95	-	-	-	-
REFSSPECIESID0000972	NZ_QLYY01000001	Vibrio tetraodonis  	2231647	Vibrio	77	tetraodonis	96	-	-	-	-
REFSSPECIESID0000975	NZ_QRHC01000001	Vibrio maerlii  	2231648	Vibrio	77	maerlii	95	-	-	-	-
REFSSPECIESID0000973	NZ_QLYZ01000001	Vibrio rhodolitus  	2231649	Vibrio	77	rhodolitus	95	-	-	-	-
REFSSPECIESID0000979	NZ_QVMU01000001	Vibrio sinensis  	2302434	Vibrio	77	sinensis	95	-	-	-	-
REFSSPECIESID0000980	NZ_CP033077	Vibrio zhugei  	2479546	Vibrio	77	zhugei	95	-	-	-	-
REFSSPECIESID0000982	NZ_RJVQ01000001	Vibrio viridaestus  	2487322	Vibrio	77	viridaestus	95	-	-	-	-
REFSSPECIESID0000984	NZ_RXZH01000001	Vibrio aquaticus  	2496559	Vibrio	77	aquaticus	95	-	-	-	-
REFSSPECIESID0000985	NZ_SATR01000001	Vibrio ouci  	2499078	Vibrio	77	ouci	95	-	-	-	-
REFSSPECIESID0001004	NZ_SHOE01000001	Vibrio chemaguriensis  	2527672	Vibrio	77	chemaguriensis	98.5	-	-	-	-
REFSSPECIESID0000998	NZ_AP019651	Vibrio taketomensis  	2572923	Vibrio	77	taketomensis	95	-	-	-	-
REFSSPECIESID0001011	NZ_VHKO01000001	Vibrio hibernica  	2587465	Vibrio	77	hibernica	95	-	-	-	-
REFSSPECIESID0000994	NZ_CP045350	Vibrio aquimaris  	2587862	Vibrio	77	aquimaris	96	-	-	-	-
REFSSPECIESID0000995	NZ_CP045699	Vibrio algicola  	2662262	Vibrio	77	algicola	95	-	-	-	-
REFSSPECIESID0001002	NZ_CP049331	Vibrio ziniensis  	2711221	Vibrio	77	ziniensis	95	-	-	-	-
REFSSPECIESID0001006	NZ_JABAIK010000001	Vibrio agarilyticus  	2726741	Vibrio	77	agarilyticus	95	-	-	-	-
REFSSPECIESID0001008	NZ_JACFYF010000078	Vibrio marinisediminis  	2758441	Vibrio	77	marinisediminis	95	-	-	-	-
REFSSPECIESID0001010	NZ_CP062500	Vibrio bathopelagicus  	2777577	Vibrio	77	bathopelagicus	95	-	-	-	-
REFSSPECIESID0001012	NZ_JADPMR010000001	Vibrio nitrifigilis  	2789781	Vibrio	77	nitrifigilis	95	-	-	-	-
REFSSPECIESID0001013	NZ_JAFEUM010000001	Vibrio ulleungensis  	2807619	Vibrio	77	ulleungensis	95	-	-	-	-
REFSSPECIESID0001014	NZ_CP076643	Vibrio ostreae  	2841925	Vibrio	77	ostreae	95	-	-	-	-
REFSSPECIESID0001017	NZ_JAJSDZ010000001	Vibrio salinus  	2899784	Vibrio	77	salinus	95	-	-	-	-
REFSSPECIESID0000222	NZ_CQAE01000001	Yersinia enterocolitica - -	630	Yersinia	85	enterocolitica	96	-	-	-	-
REFSSPECIESID0000227	NZ_CP046293	Yersinia intermedia - -	631	Yersinia	85	intermedia	95	-	-	-	-
REFSSPECIESID0000212	NC_017168	Yersinia pseudotuberculosis complex pestis -	632	Yersinia	85	pseudotuberculosis complex	95	pestis	99.4	-	-
REFSSPECIESID0000216	NZ_CP009712	Yersinia pseudotuberculosis complex pseudotuberculosis -	633	Yersinia	85	pseudotuberculosis complex	95	pseudotuberculosis	99.4	-	-
REFSSPECIESID0000231	NZ_JAJAVX010000001	Yersinia bercovieri - -	634	Yersinia	85	bercovieri	95	-	-	-	-
REFSSPECIESID0000232	NZ_UHIY01000002	Yersinia kristensenii - -	28152	Yersinia	85	kristensenii	95	-	-	-	-
REFSSPECIESID0000217	NZ_CP009781	Yersinia aldovae - -	29483	Yersinia	85	aldovae	95	-	-	-	-
REFSSPECIESID0000215	NZ_KN150731	Yersinia frederiksenii - -	29484	Yersinia	85	frederiksenii	95	-	-	-	-
REFSSPECIESID0000218	NZ_CP009787	Yersinia rohdei - -	29485	Yersinia	85	rohdei	95	-	-	-	-
REFSSPECIESID0000230	NZ_CP071802	Yersinia ruckeri - -	29486	Yersinia	85	ruckeri	95	-	-	-	-
REFSSPECIESID0000229	NZ_CP054043	Yersinia mollaretii - -	33060	Yersinia	85	mollaretii	95	-	-	-	-
REFSSPECIESID0000223	NZ_CGBL01000001	Yersinia aleksiciae - -	263819	Yersinia	85	aleksiciae	95	-	-	-	-
REFSSPECIESID0000214	NZ_CP007230	Yersinia pseudotuberculosis complex similis -	367190	Yersinia	85	pseudotuberculosis complex	95	similis	96.5	-	-
REFSSPECIESID0000213	NZ_HE997643	Yersinia massiliensis - -	419257	Yersinia	85	massiliensis	95	-	-	-	-
REFSSPECIESID0000219	NZ_CPYD01000001	Yersinia nurmii - -	685706	Yersinia	85	nurmii	96	-	-	-	-
REFSSPECIESID0000224	NZ_CP010029	Yersinia entomophaga - -	935293	Yersinia	85	entomophaga	96	-	-	-	-
REFSSPECIESID0000221	NZ_CQAZ01000001	Yersinia pekkanenii - -	1288385	Yersinia	85	pekkanenii	95	-	-	-	-
REFSSPECIESID0000237	NZ_CBLG010000001	Yersinia pseudotuberculosis complex wautersii -	1341643	Yersinia	85	pseudotuberculosis complex	95	wautersii	98.5	-	-
REFSSPECIESID0000225	NZ_CP032482	Yersinia rochesterensis - -	1604335	Yersinia	85	rochesterensis	96	-	-	-	-
REFSSPECIESID0000226	NZ_CP032487	Yersinia hibernica - -	2339259	Yersinia	85	hibernica	95	-	-	-	-
REFSSPECIESID0000228	NZ_CP043727	Yersinia canariae - -	2607663	Yersinia	85	canariae	95	-	-	-	-
REFSSPECIESID0000236	NZ_CACVAC010000001	Yersinia artesiana - -	2890315	Yersinia	85	artesiana	96	-	-	-	-
REFSSPECIESID0000235	NZ_CABHYW010000001	Yersinia proxima - -	2890316	Yersinia	85	proxima	96	-	-	-	-
REFSSPECIESID0000233	NZ_CABHWW010000001	Yersinia alsatica - -	2890317	Yersinia	85	alsatica	95	-	-	-	-
REFSSPECIESID0000234	NZ_CABHWP010000001	Yersinia vastinensis - -	2890318	Yersinia	85	vastinensis	95	-	-	-	-
REFSSPECIESID0000220	NZ_CQAW01000001	Yersinia thracica - -	2890319	Yersinia	85	thracica	96	-	-	-	-
